,harvest area [ha],production [t],yield [hg/ha],
1993,578230,895520,15487,
1994,746810,802747,10749,
1995,826840,1083680,13106,
1996,959450,1162310,12114,
1997,846000,1092820,12917,
1998,831770,1142710,13738,
1999,1031140,1149670,11150,
2000,1062010,1235270,11631,
2001,1203720,1596020,13259,
2002,1006271,1444434,14354,
2003,1166237,1618093,13874,
2004,1098907,1614441,14691,
2005,1398215,2176603,15567,
2006,1459540,2219075,15204,
2007,1473917,2463064,16711,
2008,1424719,2314489,16245,
2009,1683565,3075644,18269,
2010,1553240,2855682,18385,
2011,1437485,2916334,20288,
2012,1627647,3434706,21102,
2013,1605654,3925174,24446,
2014,1663845,4231589,25433,
2015,1664565,4650933.63,27941,
2016,1696083,4537852,26755,
2017,1696907,4642965.71,27361,
2018,1747939,4838074.09,27679,
2019,1789372,5315270.33,29705,
2020,1829051,5478708.65,29954,
2021,1950000,5214000,26738,
1993-2020,860281.25,1070590.875,12611.5,1.26115
2001-2020,1511343.95,3267457.621,20861.15,2.086115
